w_id,q_id,variable,capital
W1,Q1,poverty_rate,economic
W1,Q1,access_to_financial_support,economic
W2,Q2,agricultural_population,economic
W3,Q3,literacy_rate,human
W3,Q3,enrolment_rate,human
W4,Q4,malnutrition_rate,human
W4,Q4,healthcare_facilities,human
W9,Q10,presence_of_processing_facilities,physical
W9,Q10,presence_of_consolidators,physical
W10,Q11,average_farm_size,physical
W11,Q12,distance_to_nearest_city,physical
W11,Q12,road_density,physical
W12,Q13,irrigation_rate,physical
W5,Q5,presence_of_input_suppliers,social
W6,Q6,presence_of_distributors,social
W7,Q7,presence_of_agricultural_extension_officers,social
W8,Q8,presence_of_certification,social
